team,logo,spi,offense,defense,group_first,group_second,group_third,round_16,qtrs,semis,finals,champs,updated
VfL Wolfsburg,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/138.png&amp;w=56,73.2,2.0,0.7,0.16565,0.2375,0.34725,0.40315,0.1333,0.03965,0.01035,0.00345,2021-10-19 16:59:00
Sporting CP,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/2250.png&amp;w=56,74.0,1.9,0.7,0.0052,0.15285,0.8179,0.15805,0.04805,0.0155,0.0041,0.0017,2021-10-19 16:59:00
Zenit St Petersburg,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/2533.png&amp;w=56,68.3,2.0,1.0,0.06715,0.1683,0.73155,0.23545,0.0576,0.0145,0.00335,0.00135,2021-10-19 16:59:00
RB Leipzig,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/11420.png&amp;w=56,83.4,2.5,0.6,0.00095,0.02315,0.38635,0.0241,0.01185,0.0061,0.00275,0.0013,2021-10-19 16:59:00
Young Boys,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/2722.png&amp;w=56,68.0,2.1,1.1,0.10185,0.207,0.27695,0.30885,0.07335,0.0163,0.0036,0.001,2021-10-19 16:59:00
Lille,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/166.png&amp;w=56,70.1,1.7,0.7,0.0521,0.1355,0.2577,0.1876,0.04725,0.01155,0.0023,0.0006,2021-10-19 16:59:00
AC Milan,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/103.png&amp;w=56,75.9,2.2,0.8,0.0001,0.04265,0.13805,0.04275,0.0134,0.0047,0.0012,0.00035,2021-10-19 16:59:00
Shakhtar Donetsk,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/493.png&amp;w=56,64.3,2.0,1.1,0.00435,0.0501,0.10585,0.05445,0.0101,0.0024,0.00035,0.0002,2021-10-19 16:59:00
Club Brugge,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/570.png&amp;w=56,62.8,1.9,1.2,0.00605,0.0693,0.52855,0.07535,0.01305,0.00245,0.00035,0.0001,2021-10-19 16:59:00
FC Sheriff Tiraspol,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/614.png&amp;w=56,46.5,1.4,1.4,0.0408,0.19335,0.66165,0.23415,0.00975,0.00045,5e-05,1e-05,2021-10-19 16:59:00
Dynamo Kiev,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/440.png&amp;w=56,56.4,1.6,1.2,0.0005,0.0245,0.1267,0.025,0.0033,0.0002,5e-05,1e-05,2021-10-19 16:59:00
Malmo FF,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/2720.png&amp;w=56,46.3,1.5,1.5,0.00015,0.00205,0.03445,0.0022,0.0003,5e-05,1e-05,1e-05,2021-10-19 16:59:00
Besiktas,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/1895.png&amp;w=56,53.8,1.8,1.5,1e-05,0.0012,0.02505,0.0012,0.0001,1e-05,1e-05,1e-05,2021-10-19 16:59:00
Manchester City,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/382.png&amp;w=56,93.9,2.9,0.2,0.66145,0.32175,0.01525,0.9832,0.7614,0.53845,0.3599,0.22175,2021-10-20 16:57:00
Bayern Munich,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/132.png&amp;w=56,93.6,3.5,0.5,0.9827,0.01595,0.00135,0.99865,0.77755,0.5498,0.3658,0.22065,2021-10-20 16:57:00
Liverpool,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/364.png&amp;w=56,90.6,3.0,0.5,0.93375,0.06,0.00625,0.99375,0.72445,0.4371,0.24255,0.1256,2021-10-20 16:57:00
Ajax,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/139.png&amp;w=56,88.9,3.1,0.6,0.89925,0.09625,0.0045,0.9955,0.64645,0.3708,0.19675,0.10075,2021-10-20 16:57:00
Chelsea,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/363.png&amp;w=56,87.8,2.4,0.3,0.3484,0.6047,0.0468,0.9531,0.5429,0.2814,0.13525,0.0625,2021-10-20 16:57:00
Real Madrid,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/86.png&amp;w=56,86.2,2.7,0.6,0.75825,0.1912,0.04375,0.94945,0.5335,0.26025,0.1159,0.04905,2021-10-20 16:57:00
Paris Saint-Germain,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/160.png&amp;w=56,83.2,2.5,0.7,0.33185,0.58685,0.06835,0.9187,0.4316,0.1853,0.07675,0.03035,2021-10-20 16:57:00
Atletico Madrid,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/1068.png&amp;w=56,85.1,2.2,0.4,0.04725,0.55815,0.3422,0.6054,0.28205,0.1353,0.06015,0.0271,2021-10-20 16:57:00
Manchester United,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/360.png&amp;w=56,82.2,2.4,0.6,0.52305,0.27095,0.1433,0.794,0.3964,0.1645,0.06235,0.02425,2021-10-20 16:57:00
Barcelona,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/83.png&amp;w=56,84.9,2.5,0.6,0.0069999999999999,0.4886,0.46235,0.4956,0.2395,0.11265,0.0509,0.0208,2021-10-20 16:57:00
